"trial_type","trial_index","time_elapsed","internal_node_id","task_version","success","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","sub","block","trial","stimulus","robot","valence","action","sham"
"pit-trial","158","941189","0.0-158.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","154","2","1","win","go","0"
"pit-trial","159","947273","0.0-159.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","155","1","2","win","no-go","0"
"pit-trial","160","954112","0.0-160.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","3","156","3","3","lose","go","0"
"pit-trial","161","960880","0.0-161.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","157","0","2","win","no-go","0"
"pit-trial","162","967734","0.0-162.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","158","1","2","win","no-go","0"
"pit-trial","163","974108","0.0-163.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","159","2","1","win","go","0"
"pit-trial","164","980902","0.0-164.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","-10","[]","0","3&age=8&participant_ID=5&order=1","3","160","3","3","lose","go","0"
"pit-trial","165","987957","0.0-165.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","161","2","1","win","go","0"
"pit-trial","166","994507","0.0-166.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","162","1","2","win","no-go","0"
"pit-trial","167","1001883","0.0-167.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","163","3","3","lose","go","1"
"pit-trial","168","1009069","0.0-168.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","3","164","0","2","win","no-go","1"
"pit-trial","169","1015795","0.0-169.0","battery-v0.2","","","-1","y","elianto","#3366ff99"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","165","2","1","win","go","0"
"pit-trial","170","1022187","0.0-170.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","0","[]","0","3&age=8&participant_ID=5&order=1","3","166","1","2","win","no-go","1"
"pit-trial","171","1028869","0.0-171.0","battery-v0.2","","","-1","h","elianto","#f73b6a7A"," ","-1","0","0","[]","0","3&age=8&participant_ID=5&order=1","3","167","3","3","lose","go","1"
"pit-trial","172","1036101","0.0-172.0","battery-v0.2","","","-1","m","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","168","0","2","win","no-go","0"
"pit-trial","173","1042558","0.0-173.0","battery-v0.2","","","-1","r","elianto","#3366ff99","-1","-1","1","+10","[]","0","3&age=8&participant_ID=5&order=1","3","169","1","2","win","no-go","0"
