"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","responses","num_errors","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","subject","participantId","value","sub","trial","stimulus","robot","valence","action","sham"
"pit-instructions","113","1125945","0.0-1.0-17.4-5.4-0.4","battery-v0.2","[{""page_index"":0,""viewing_time"":7788.799999982119},{""page_index"":1,""viewing_time"":5797.600000023842},{""page_index"":2,""viewing_time"":6669.199999988079}]","20256.40000000596","","","","","","","","","","","","","","","","","","","","","","",""
"pit-trial","114","1129032","0.0-1.0-17.5-0.5","battery-v0.2","","226.09999999403954","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[1076.300000011921]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","115","1132195","0.0-1.0-17.5-1.5","battery-v0.2","","308.2999999821186","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[1159.2999999821186]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","116","1137053","0.0-1.0-17.5-2.5","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[3958.4000000059605]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","117","1140962","0.0-1.0-17.5-3.5","battery-v0.2","","1054.5","","","&#9789;","elianto","#f73b6a7A"," "," ","1","-10","[1907.7999999821186]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","118","1145822","0.0-1.0-17.5-4.5","battery-v0.2","","-1","","","&#9789;","elianto","#f73b6a7A"," ","-1","0","-10","[3622.7999999821186]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","119","1148921","0.0-1.0-17.6-0.6","battery-v0.2","","240.2999999821186","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[444.09999999403954,1090.199999988079]","2","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","120","1151875","0.0-1.0-17.6-1.6","battery-v0.2","","95.09999999403954","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[159.19999998807907,947.1999999880791,1205.800000011921]","3","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","121","1155165","0.0-1.0-17.6-2.6","battery-v0.2","","434.7999999821186","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[1284.9000000059605]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","122","1158157","0.0-1.0-17.6-3.6","battery-v0.2","","133.60000002384186","","","&#9789;","elianto","#f73b6a7A"," "," ","1","-10","[984.5999999940395]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
"pit-trial","123","1161252","0.0-1.0-17.6-4.6","battery-v0.2","","240.90000000596046","","","&#9789;","elianto","#f73b6a7A"," "," ","1","0","[1091.300000011921]","1","0","4","3&age=8&participant_ID=5&order=1","5","","","","","","","",""
